country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",30-03-2025 05:00,19.11074,72.86084,SO2,1,21,8
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",30-03-2025 05:00,20.9402359,77.7895248,CO,18,54,30
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",30-03-2025 05:00,20.939198,77.765701,NH3,2,10,3
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",30-03-2025 05:00,20.021503,73.813844,PM10,101,160,126
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",30-03-2025 05:00,19.95022,73.73148,SO2,8,50,19
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",30-03-2025 05:00,19.9591346,73.7788008,PM10,95,256,144
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",30-03-2025 05:00,19.9591346,73.7788008,NH3,3,7,4
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",30-03-2025 05:00,19.9591346,73.7788008,SO2,8,88,25
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",30-03-2025 05:00,19.9591346,73.7788008,OZONE,6,112,41
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",30-03-2025 05:00,19.090337,73.014232,PM2.5,52,212,83
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",30-03-2025 05:00,19.090337,73.014232,CO,14,111,82
India,Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",30-03-2025 05:00,19.1135051,73.008978,NH3,1,1,1
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",30-03-2025 05:00,21.14472,79.107595,NO2,21,140,58
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",30-03-2025 05:00,21.14472,79.107595,NH3,3,20,8
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",30-03-2025 05:00,21.14472,79.107595,SO2,4,130,60
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",30-03-2025 05:00,21.14472,79.107595,CO,36,161,86
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",30-03-2025 05:00,21.152875,79.0517531,SO2,12,121,34
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",30-03-2025 05:00,21.143383,79.048912,PM2.5,84,154,115
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",30-03-2025 05:00,19.173852,77.296291,NO2,13,77,28
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",30-03-2025 05:00,19.173852,77.296291,NH3,4,5,4
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",30-03-2025 05:00,20.0073285,73.7762427,OZONE,32,96,38
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",30-03-2025 05:00,18.547056,73.826908,PM10,47,77,62
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",30-03-2025 05:00,18.547056,73.826908,NO2,11,37,24
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",30-03-2025 05:00,18.547056,73.826908,SO2,4,11,6
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",30-03-2025 05:00,18.547056,73.826908,CO,18,72,43
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",30-03-2025 05:00,18.664282,73.763966,PM10,NA,NA,NA
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",30-03-2025 05:00,16.5038,74.3623,CO,NA,NA,NA
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",30-03-2025 05:00,17.6336264,75.9132495,PM10,86,140,114
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",30-03-2025 05:00,17.6336264,75.9132495,SO2,4,15,10
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",30-03-2025 05:00,19.1375,72.915056,PM2.5,31,43,36
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",30-03-2025 05:00,19.000084,72.85673,PM2.5,17,304,120
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",30-03-2025 05:00,19.000084,72.85673,NH3,2,11,4
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",30-03-2025 05:00,19.060498,72.923356,PM2.5,54,207,96
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",30-03-2025 05:00,19.060498,72.923356,NO2,10,77,38
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",30-03-2025 05:00,19.060498,72.923356,CO,5,103,64
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",30-03-2025 05:00,19.000083,72.813993,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",30-03-2025 05:00,19.000083,72.813993,NO2,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",30-03-2025 05:00,18.616318,73.765797,NO2,32,96,57
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",30-03-2025 05:00,18.616318,73.765797,CO,22,64,38
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",30-03-2025 05:00,18.501793,73.927532,CO,36,92,54
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",30-03-2025 05:00,18.5011743,73.8165527,CO,44,44,44
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",30-03-2025 05:00,18.45445,73.854155,NO2,18,56,38
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",30-03-2025 05:00,18.45445,73.854155,CO,32,101,73
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",30-03-2025 05:00,19.02579,73.10297,PM10,77,241,132
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",30-03-2025 05:00,19.063,73.1209,OZONE,1,149,5
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",30-03-2025 05:00,19.265594,76.761463,SO2,25,47,30
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",30-03-2025 05:00,18.59051,73.77946,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",30-03-2025 05:00,19.047,72.8746,PM2.5,66,120,90
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",30-03-2025 05:00,19.047,72.8746,PM10,76,125,106
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",30-03-2025 05:00,19.3832,72.8204,NO2,48,73,57
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",30-03-2025 05:00,19.3832,72.8204,OZONE,7,7,7
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",30-03-2025 05:00,21.121801,79.04952,PM2.5,71,160,97
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",30-03-2025 05:00,17.65439,75.90649,CO,21,106,68
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB",30-03-2025 05:00,19.26777,72.97182,PM2.5,64,116,88
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",30-03-2025 05:00,18.536457,73.805454,CO,7,46,9
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",30-03-2025 05:00,18.530085,73.849598,SO2,4,40,22
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",30-03-2025 05:00,19.445821,72.7988231,CO,22,59,34
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",30-03-2025 05:00,19.445821,72.7988231,OZONE,9,201,75
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB",30-03-2025 05:00,24.8207389,93.9423085,PM10,58,122,94
